15,339,sandra 'boring' bullock
15,1955,dentist
15,7478,Cambodia
15,32892,Russian
15,34162,forgettable
15,35957,short
15,37729,dull story
15,45950,powerpoint
15,100365,activist
15,100365,documentary
15,100365,uganda
23,150,Ron Howard
68,2174,music
68,2174,weird
68,8623,Steve Martin
73,107999,action
73,107999,anime
73,107999,kung fu
73,111624,drama
73,111624,indie
73,111624,love
73,130682,b movie
73,130682,comedt
73,130682,horror
77,1199,Trilogy of the Imagination
77,2968,Gilliam
77,2968,Trilogy of the Imagination
77,4467,Trilogy of the Imagination
77,4911,Gilliam
77,5909,Takashi Miike
77,47465,Gilliam
84,296,intense
84,296,r:violence
84,296,tarantino
91,4388,parody
94,1131,emotional
94,1131,tragedy
94,64957,original plot
94,74458,Predictable
106,48711,CHRISTIAN
132,4189,jesus
132,4612,jesus
132,6683,bollywood
132,6986,jesus
132,27255,No progress
132,27255,Too slow
132,27255,Views
138,260,cult classic
138,260,Science Fiction
138,1258,cult film
138,1258,jack nicholson
138,1258,psychological
138,1258,Stanley Kubrick
138,1704,genius
138,1704,intellectual
138,1704,mathematics
138,1704,psychology
138,4226,Mindfuck
138,4226,nonlinear
138,4226,psychology
138,4226,twist ending
138,4995,genius
138,4995,intelligent
138,4995,math
138,4995,mathematics
138,4995,twist ending
138,48780,Christopher Nolan
138,48780,complicated
138,48780,Hugh Jackman
138,48780,nonlinear
138,48780,psychological
138,48780,twist ending
138,79132,alternate reality
138,79132,Christopher Nolan
138,79132,intellectual
138,79132,mindfuck
138,79132,philosophy
138,79132,sci-fi
138,79132,twist ending
138,109487,artificial intelligence
138,109487,Christopher Nolan
138,109487,good science
138,109487,interesting ideea
138,109487,philosophical issues
138,109487,physics
138,109487,relativity
138,109487,sci-fi
138,109487,sentimental
138,109487,space
138,109487,time travel
138,109487,time-travel
149,121231,eerie
149,121231,friendship
149,121231,teenagers
152,52319,World War II
164,608,Quirky
176,5445,Tom Cruise
176,7458,Brad Pitt
176,8972,Nicolas Cage
176,69640,Johnny Depp
176,104841,sexist
179,260,nerdy
179,260,Science Fiction
187,2082,Emilio Estevez
200,260,critically acclaimed
200,260,Science Fiction
